feature,gain,split
trial_time_zscore,12956.189776718616,830
trial_time_diff_from_best,7562.360878705978,216
field_size,2805.7786791324615,372
post_position,2095.130235671997,439
predicted_race_time_rank,1933.871034502983,188
rider_track_win_rate,1671.6693851351738,547
field_trial_std,1606.433270931244,534
trial_deviation,1290.378945350647,506
handicap_meters,1020.8583437800407,200
relative_win_strength,993.4497979283333,246
avg_finish_30,951.7322677969933,226
generation,775.719329059124,363
avg_finish_10,707.9918045401573,287
handicap_rank,599.0827020406723,149
field_avg_finish,586.1430895924568,345
rider_wet_top3_rate,566.7012408971786,408
top3_rate_30,496.3758602142334,200
momentum,456.24757647514343,318
avg_start_timing_10,445.0506016612053,299
rider_wet_win_rate,443.448701351881,334
trial_vs_avg_90d,425.19589149951935,312
computed_trial_deviation,407.4330116510391,261
trial_time_rank,387.47260224819183,43
handicap_range_in_field,368.54563987255096,165
top3_rate_10,348.0493745803833,102
avg_start_timing_30,335.2892734706402,275
track_temperature,327.01747983694077,214
predicted_race_time,324.64273875951767,224
field_avg_trial,304.3125542998314,211
total_races,303.3445493578911,259
start_timing_consistency,288.4930554032326,237
trial_deviation_trend,281.2594049870968,253
trial_time_trend,245.38236659765244,216
finish_std_10,244.52673488855362,208
humidity,244.250878572464,215
avg_trial_time_90d,241.91241264343262,208
avg_trial_time_30d,223.44757014513016,200
top2_rate_10,194.98183399438858,64
trial_time,188.88948184251785,123
handicap_group,179.23388302326202,16
win_rate_30,173.28790974617004,104
field_avg_win_rate,168.87491530179977,136
temperature,156.8230186700821,133
predicted_vs_handicap,111.57107925415039,67
gap_to_top_rival,98.81337600946426,60
days_since_last_race,96.64117062091827,76
race_number,90.0110998749733,68
track_id,78.65085780620575,45
form_rank_in_field,65.58385276794434,29
handicap_vs_trial,49.70997887849808,42
field_max_win_rate,42.34713017940521,37
win_rate_10,36.921487867832184,28
is_wet_condition,18.005008161067963,13
weather,4.696249961853027,4
track_condition,1.7466200590133667,1
grade,0.0,0
distance,0.0,0
is_home_track,0.0,0
rider_age,0.0,0
