feature,mean_abs_shap
trial_time_zscore,0.6419341506156315
field_size,0.36802743557798967
trial_time_diff_from_best,0.3395460889544838
rider_track_win_rate,0.19381977057944091
avg_finish_30,0.14305519944941483
post_position,0.12763442198309738
top3_rate_30,0.10622957152740359
predicted_race_time_rank,0.10566415894115896
field_trial_std,0.10138724904308988
trial_deviation,0.09434795594794658
generation,0.09106368321055043
avg_finish_10,0.07521172236905337
handicap_rank,0.070535032340554
handicap_meters,0.0662365160297461
relative_win_strength,0.059935223862752726
field_avg_finish,0.05952006891607184
total_races,0.04917134730194261
predicted_race_time,0.03705117553841212
momentum,0.03668701865918472
trial_time,0.03569105546660983
avg_start_timing_10,0.03525562964868733
top3_rate_10,0.035137694075778644
handicap_range_in_field,0.02947332666003508
field_avg_trial,0.02238375733919753
rider_wet_win_rate,0.021274922567712073
rider_wet_top3_rate,0.019595117694128195
trial_time_rank,0.019438753310244878
win_rate_30,0.018940265393340035
avg_start_timing_30,0.01861390214028538
field_avg_win_rate,0.016347014136858483
trial_vs_avg_90d,0.015922077494029404
trial_deviation_trend,0.01317693513215798
gap_to_top_rival,0.013087223486823472
top2_rate_10,0.012913417400727331
start_timing_consistency,0.012591021173727087
avg_trial_time_30d,0.01217661063146059
avg_trial_time_90d,0.010391159723370257
track_id,0.008867220059884124
trial_time_trend,0.007538855074288769
computed_trial_deviation,0.007468557875910623
finish_std_10,0.007437971844766959
handicap_group,0.0069632411031541625
predicted_vs_handicap,0.006858185240568342
track_temperature,0.0067510085564217144
humidity,0.006220815714236423
temperature,0.004930623940684263
form_rank_in_field,0.004343769450183157
days_since_last_race,0.004109640006595263
handicap_vs_trial,0.003761089869585112
win_rate_10,0.0032033403532447315
field_max_win_rate,0.0030183364487267766
race_number,0.0029132136987946333
weather,0.0004992781212377262
is_wet_condition,0.000456348451115956
track_condition,0.00039286230178182523
grade,0.0
distance,0.0
is_home_track,0.0
rider_age,0.0
