feature,gain,split
trial_time_diff_from_best,131877.88645792007,499
field_size,20417.46199274063,397
trial_time_rank,19631.170946121216,288
post_position,16212.260910987854,478
field_trial_std,16137.710447072983,772
trial_deviation,13890.28337430954,689
rider_track_win_rate,12886.715460538864,736
avg_finish_30,11558.815670967102,382
handicap_meters,8845.695323467255,265
avg_finish_10,6900.431515216827,354
rider_wet_win_rate,6697.9524874687195,678
field_avg_trial,6507.737815380096,598
generation,5973.384305477142,433
trial_vs_avg_90d,5080.165802955627,506
top3_rate_30,4819.197031021118,205
momentum,4496.829371929169,450
top3_rate_10,3604.460202217102,142
handicap_rank,3423.961600780487,185
avg_trial_time_90d,3415.286204814911,355
trial_time,3025.0080375671387,277
top2_rate_10,2911.8062143325806,117
total_races,2830.005352973938,342
trial_time_trend,2814.407108783722,354
avg_trial_time_30d,2526.0189995765686,297
win_rate_30,2451.792432785034,169
track_temperature,2423.3219604492188,258
humidity,2161.814696788788,254
win_rate_10,1849.6181564331055,102
temperature,1545.0226020812988,180
track_id,1248.5960669517517,111
handicap_vs_trial,918.2019262313843,90
days_since_last_race,874.7707071304321,102
weather,173.85069179534912,19
track_condition,133.82351875305176,14
grade,0.0,0
distance,0.0,0
