feature,mean_abs_shap
trial_time_diff_from_best,0.8118741902083914
field_size,0.3805225660874158
avg_finish_30,0.23754476300565042
trial_time_rank,0.22223577910598205
rider_track_win_rate,0.1872131738289557
field_trial_std,0.1616241316102975
trial_deviation,0.1162251354559119
post_position,0.11082800636951652
avg_finish_10,0.09228869119652913
field_avg_trial,0.08891591958861617
generation,0.0855428324523636
trial_time,0.07903458589757767
top3_rate_30,0.07700536255742398
handicap_meters,0.07485460426599648
handicap_rank,0.06302161256928449
top3_rate_10,0.04240495061444455
rider_wet_win_rate,0.03704270047947114
win_rate_30,0.03488290420799229
win_rate_10,0.03476916771757244
momentum,0.032697363117165486
trial_vs_avg_90d,0.03193783986131328
top2_rate_10,0.031410171449714384
total_races,0.0226114476504991
avg_trial_time_30d,0.01923690567828187
avg_trial_time_90d,0.014637670289335018
trial_time_trend,0.011774223159595042
days_since_last_race,0.011034034798988821
track_id,0.00998141754535581
humidity,0.0077114237668274195
track_temperature,0.005783339377230992
handicap_vs_trial,0.004171923609747952
temperature,0.0038031493580089754
track_condition,0.0011351783414295469
weather,0.0009253416808592299
grade,0.0
distance,0.0
