feature,mean_abs_shap
trial_time_diff_from_best,0.822247016981323
field_size,0.36846609264311697
avg_finish_30,0.24839632298041933
trial_time_rank,0.23786588096050612
rider_track_win_rate,0.2259332141561038
top3_rate_30,0.14854211708669912
trial_time,0.1386273761627049
field_trial_std,0.134725274849023
field_avg_trial,0.11282675781654038
post_position,0.10739438947518073
trial_deviation,0.09345371331384422
relative_win_strength,0.08468566867203452
avg_finish_10,0.08280494629918371
handicap_rank,0.0792731549553245
field_avg_finish,0.07555557146225289
generation,0.06803665052662906
handicap_meters,0.060054281009957876
rider_wet_win_rate,0.04990963673711908
total_races,0.045651194536805224
trial_vs_avg_90d,0.03908993405391664
top3_rate_10,0.03724037194724157
momentum,0.0322969047258579
field_avg_win_rate,0.0319629169911585
avg_trial_time_90d,0.03017898847819261
top2_rate_10,0.028437619260980866
handicap_vs_trial,0.024803428072159017
avg_trial_time_30d,0.022457358056219644
win_rate_30,0.02178776814368133
humidity,0.017167386839877112
track_id,0.015972889545592516
trial_time_trend,0.012997272144304774
finish_std_10,0.011149825792183689
form_rank_in_field,0.010787537756785434
days_since_last_race,0.008757210762642135
win_rate_10,0.0084673870596096
track_temperature,0.007179543710751559
gap_to_top_rival,0.006898872435898433
field_max_win_rate,0.004400697474085597
temperature,0.004072450162987664
track_condition,0.0025031149676681885
weather,0.002350575755865444
grade,0.0
distance,0.0
