feature,gain,split
trial_time_diff_from_best,61094.426629543304,384
field_size,11968.35495018959,284
trial_time_rank,11220.992933511734,181
rider_track_win_rate,9165.31352686882,617
post_position,8717.919306993484,348
field_trial_std,8078.576927900314,562
relative_win_strength,7901.445494413376,275
trial_deviation,7653.166147470474,540
trial_time,7100.447679519653,289
field_avg_trial,6819.266309738159,429
avg_finish_30,5400.542783021927,270
avg_finish_10,4389.158993005753,276
rider_wet_win_rate,4334.359320640564,569
handicap_meters,3855.310397386551,197
generation,3675.6096291542053,351
field_avg_finish,3448.3238513469696,398
handicap_rank,3417.171584367752,175
trial_vs_avg_90d,3155.4398336410522,419
top3_rate_30,3149.917474269867,182
momentum,3018.3410501480103,401
total_races,2223.196759223938,354
handicap_vs_trial,2089.0793409347534,102
avg_trial_time_90d,2059.773092985153,297
avg_trial_time_30d,1973.4712557792664,324
trial_time_trend,1874.1818373203278,328
finish_std_10,1706.7027785778046,298
humidity,1644.3434286117554,265
track_temperature,1545.271720647812,219
top3_rate_10,1535.671793937683,120
track_id,1440.6887016296387,160
top2_rate_10,1212.0845909118652,90
field_avg_win_rate,1089.4184684753418,155
temperature,940.0648422241211,150
win_rate_30,872.5385630130768,109
days_since_last_race,724.1022303104401,108
form_rank_in_field,621.6764566898346,40
gap_to_top_rival,440.37146186828613,56
field_max_win_rate,250.556058883667,42
win_rate_10,212.1644790172577,34
weather,165.997789144516,30
track_condition,146.0436897277832,24
grade,0.0,0
distance,0.0,0
