feature,gain,split
trial_time_diff_from_best,126319.19557142258,488
trial_time_rank,22004.821231365204,279
field_size,20093.408823013306,381
post_position,15877.879585504532,459
field_trial_std,15086.968406677246,720
trial_deviation,13923.008067846298,696
rider_track_win_rate,12131.779172182083,679
avg_finish_30,11568.27315568924,338
handicap_meters,8208.08378314972,229
avg_finish_10,6576.865401983261,307
field_avg_trial,5907.388756990433,514
rider_wet_win_rate,5793.779073238373,560
generation,5442.825870513916,418
trial_vs_avg_90d,4804.899327278137,434
momentum,3646.619056224823,356
top3_rate_10,3485.409789085388,135
handicap_rank,3342.313145160675,167
trial_time,3208.9380457401276,292
top2_rate_10,3205.3864846229553,130
avg_trial_time_90d,3155.63450050354,302
top3_rate_30,3068.3028707504272,150
total_races,2938.2194604873657,331
avg_trial_time_30d,2545.193741083145,296
win_rate_30,2478.023539543152,159
trial_time_trend,2419.806113243103,294
track_temperature,2259.801890850067,215
humidity,2167.198000907898,245
win_rate_10,1839.6522979736328,84
track_id,1230.0748047828674,103
temperature,1219.3011503219604,137
days_since_last_race,1060.8907098770142,114
handicap_vs_trial,679.246618270874,70
weather,142.37439107894897,15
track_condition,78.45077991485596,9
grade,0.0,0
distance,0.0,0
