feature,mean_abs_shap
trial_time_zscore,0.6472109251396349
field_size,0.359359018226343
trial_time_diff_from_best,0.3246207790177044
rider_track_win_rate,0.19251209020688034
avg_finish_30,0.14681787324706225
post_position,0.12752924890905046
top3_rate_30,0.1126879378045375
predicted_race_time_rank,0.09739294992721186
field_trial_std,0.09657210796333238
trial_deviation,0.0877093899531515
generation,0.08579155966461419
avg_finish_10,0.07912765664805249
handicap_rank,0.07865461504251922
field_avg_finish,0.06202741473794674
handicap_meters,0.06033219391686464
relative_win_strength,0.054627418265414944
predicted_race_time,0.050165430667199064
trial_time,0.03786409892010606
momentum,0.0356191907930514
total_races,0.034779437255321254
avg_start_timing_10,0.03274066028900307
handicap_range_in_field,0.030121006804125796
top3_rate_10,0.02916125696963454
field_avg_trial,0.02915447029484858
trial_time_rank,0.02890844824804251
field_avg_win_rate,0.021918530117248706
rider_wet_top3_rate,0.019679369890043864
top2_rate_10,0.018819128033355094
win_rate_30,0.018333660112048625
avg_start_timing_30,0.01813071619810659
rider_wet_win_rate,0.016720977141147113
trial_vs_avg_90d,0.01603072841015468
avg_trial_time_90d,0.015676262268677646
avg_trial_time_30d,0.013842993783984445
trial_deviation_trend,0.013071345818162798
start_timing_consistency,0.01230672890459759
gap_to_top_rival,0.012283934775573836
computed_trial_deviation,0.01039882270106947
trial_time_trend,0.009741315014081622
handicap_group,0.009390834884124899
track_temperature,0.008880873018035492
predicted_vs_handicap,0.008779911282837628
track_id,0.007779678169644483
form_rank_in_field,0.007711356983813945
finish_std_10,0.007584607048264245
win_rate_10,0.0054480687665593615
race_number,0.005054052556578466
days_since_last_race,0.004660434619453298
humidity,0.003850475561038422
handicap_vs_trial,0.003363169397103851
temperature,0.003139889608568948
weather,0.0016849923287392628
field_max_win_rate,0.0016457469383827628
is_wet_condition,0.001440198457110107
track_condition,0.0009556500707650433
grade,0.0
distance,0.0
is_home_track,0.0
rider_age,0.0
