feature,mean_abs_shap
trial_time_diff_from_best,0.8907919261593851
field_size,0.39312887813598907
trial_time_rank,0.260421060405659
avg_finish_30,0.24400846804673762
rider_track_win_rate,0.2361202513786486
top3_rate_30,0.17051625956808233
field_trial_std,0.15373403345608874
post_position,0.11538316078796945
avg_finish_10,0.10216672812161395
trial_deviation,0.09461315799479267
trial_time,0.09172282611982255
relative_win_strength,0.09111831830870047
field_avg_finish,0.08819164195803735
field_avg_trial,0.08801899694937988
generation,0.08697288296468139
handicap_rank,0.06873981535646725
handicap_meters,0.061022384410442346
rider_wet_win_rate,0.04254290705318275
total_races,0.042115042209373614
avg_trial_time_90d,0.04013010935630922
momentum,0.03762010860161514
trial_vs_avg_90d,0.03706475686367032
top3_rate_10,0.035018854698276265
win_rate_30,0.02476569368082541
top2_rate_10,0.024093283645146058
field_avg_win_rate,0.021720718663643356
avg_trial_time_30d,0.01834153352737079
track_id,0.014882390129963922
trial_time_trend,0.012888273675845392
days_since_last_race,0.01038882194412913
gap_to_top_rival,0.010040384846383197
finish_std_10,0.009470513059141867
humidity,0.008256503122536646
track_temperature,0.007507247709145488
handicap_vs_trial,0.005012693754466979
form_rank_in_field,0.0043926435991663735
temperature,0.003676332075389509
win_rate_10,0.003444404862267584
track_condition,0.0026153822908104264
weather,0.0022647458580195585
field_max_win_rate,0.0013620878204584303
grade,0.0
distance,0.0
