feature,mean_abs_shap
trial_time_diff_from_best,0.8011443182102128
field_size,0.38893225711855894
avg_finish_30,0.26272394354388656
trial_time_rank,0.22102402572941318
rider_track_win_rate,0.1862836912437618
field_trial_std,0.1626821030316621
trial_deviation,0.12159866935264908
field_avg_trial,0.11698278935787038
post_position,0.110148036837938
trial_time,0.09862849125937
avg_finish_10,0.09752971403967144
generation,0.0865485410125022
handicap_meters,0.08211896432176047
top3_rate_30,0.08178446232871063
handicap_rank,0.06588176727252995
top3_rate_10,0.040229323459906284
top2_rate_10,0.03744190193636326
rider_wet_win_rate,0.035913455879841974
momentum,0.03155264172664165
trial_vs_avg_90d,0.030008798629402565
win_rate_30,0.02840413391141411
win_rate_10,0.02638268712422063
total_races,0.020163979586764448
avg_trial_time_90d,0.01616641183005475
trial_time_trend,0.016070530827104787
avg_trial_time_30d,0.015461256077615265
track_id,0.011756446342139189
humidity,0.008627374105487305
days_since_last_race,0.008091215603212774
track_temperature,0.008042972357438585
handicap_vs_trial,0.006161461712011818
temperature,0.005460487601579399
weather,0.001673867472064449
track_condition,0.0015236503683455156
grade,0.0
distance,0.0
