feature,gain,split
trial_time_diff_from_best,126008.49353075027,479
trial_time_rank,22631.541174173355,299
field_size,20268.406496047974,404
post_position,16001.561757087708,502
field_trial_std,15569.95545911789,806
trial_deviation,14120.036498308182,734
avg_finish_30,12835.487563848495,392
rider_track_win_rate,11926.283764362335,745
handicap_meters,7972.576518535614,258
field_avg_trial,6651.349068880081,607
rider_wet_win_rate,6628.823191165924,676
avg_finish_10,6467.063088417053,364
generation,5978.209176301956,491
trial_vs_avg_90d,4619.518166542053,469
momentum,4158.127384901047,447
handicap_rank,3684.697434902191,181
trial_time,3497.32861328125,343
top3_rate_10,3407.200219154358,124
avg_trial_time_90d,3392.5036957263947,355
top3_rate_30,3371.5590415000916,200
top2_rate_10,3365.013536453247,141
total_races,3172.4601492881775,374
trial_time_trend,2897.8174777030945,373
avg_trial_time_30d,2888.4652428627014,342
track_temperature,2785.2995371818542,280
humidity,2759.5253257751465,321
win_rate_30,2690.892397403717,187
win_rate_10,1741.8058338165283,92
temperature,1563.1976203918457,187
track_id,1277.3350105285645,112
days_since_last_race,1055.9763219356537,128
handicap_vs_trial,792.2035932540894,77
weather,229.6190390586853,25
track_condition,125.10671949386597,17
grade,0.0,0
distance,0.0,0
