feature,gain,split
trial_time_zscore,95496.35585141182,799
trial_time_diff_from_best,54345.35407161713,226
field_size,18836.853299617767,356
post_position,16218.560277462006,448
predicted_race_time_rank,14986.094103336334,182
rider_track_win_rate,12025.969444274902,536
field_trial_std,11811.228698730469,509
trial_deviation,9131.633132457733,482
avg_finish_30,7759.288015842438,258
handicap_meters,7003.085599422455,183
relative_win_strength,6967.499052524567,237
generation,5416.045219898224,337
avg_finish_10,5209.474162578583,237
rider_wet_top3_rate,4595.164303779602,413
handicap_rank,4518.807679176331,156
top3_rate_30,4074.663547515869,188
field_avg_finish,3759.2452342510223,306
trial_time_rank,3574.527898311615,46
momentum,3534.685923099518,316
rider_wet_win_rate,3415.789228916168,332
avg_start_timing_10,3153.520791053772,265
handicap_range_in_field,3137.4665536880493,176
computed_trial_deviation,3055.144156932831,267
trial_vs_avg_90d,2872.1964445114136,280
predicted_race_time,2601.468978404999,232
field_avg_trial,2573.0931935310364,256
track_temperature,2569.4284677505493,224
avg_start_timing_30,2405.439645767212,257
top3_rate_10,2338.5703530311584,95
start_timing_consistency,2295.2853298187256,248
total_races,2124.2342777252197,236
trial_deviation_trend,2064.6527190208435,239
avg_trial_time_90d,1944.2442169189453,203
trial_time_trend,1895.7189846038818,222
finish_std_10,1752.1693005561829,200
avg_trial_time_30d,1731.5140924453735,211
win_rate_30,1687.4798364639282,132
top2_rate_10,1607.0895681381226,76
humidity,1485.4166827201843,170
handicap_group,1424.6455974578857,13
trial_time,1383.1550092697144,105
field_avg_win_rate,1143.56290102005,120
temperature,1025.6977562904358,113
track_id,962.5698962211609,76
race_number,803.2192401885986,73
gap_to_top_rival,795.5515241622925,52
predicted_vs_handicap,757.5203919410706,71
days_since_last_race,743.675998210907,83
form_rank_in_field,632.514500617981,33
handicap_vs_trial,404.4184789657593,45
win_rate_10,282.35391187667847,30
field_max_win_rate,174.73570919036865,22
is_wet_condition,155.5013885498047,16
weather,121.21299982070923,14
track_condition,65.53766107559204,6
grade,0.0,0
distance,0.0,0
is_home_track,0.0,0
rider_age,0.0,0
