feature,gain,split
trial_time_zscore,13652.526676893234,570
trial_time_diff_from_best,7234.395776748657,167
field_size,2766.9211161136627,300
effective_time_rank,2640.4859053492546,191
trial_deviation,1101.9969124794006,312
avg_finish_all,1030.2726163864136,94
predicted_race_time_rank,1022.9750349521637,113
field_trial_std,1017.3901064395905,256
effective_time_gap_to_best,832.3557485342026,159
post_position,750.2153294086456,202
relative_win_strength,682.315149307251,114
rider_track_win_rate,596.5016804933548,203
form_score,514.4476602077484,142
win_rate_all,505.85002529621124,89
win_odds_prev1,484.6389764547348,140
generation,466.29781007766724,166
field_predicted_time_spread,426.54430812597275,104
top3_rate_all,412.0958009958267,112
field_avg_finish,405.6684270501137,164
rider_wet_top3_rate,286.7286605834961,143
avg_finish_30,273.71784687042236,86
relative_experience,249.81361055374146,127
days_since_last_top3,228.04585909843445,70
avg_finish_10,226.48773741722107,52
top3_rate_30,220.01754999160767,58
field_effective_time_spread,218.2645411491394,93
recent_vs_career_finish,203.7380486726761,73
st_vs_field_avg,194.29815024137497,79
effective_predicted_time,188.32890045642853,63
track_temperature,183.11100912094116,90
trial_vs_avg_90d,181.8070828318596,92
avg_odds_rank,153.87910944223404,47
computed_trial_deviation,148.6557492017746,82
rider_wet_win_rate,146.53614008426666,78
field_avg_trial,142.57540744543076,80
race_time_prev1,138.72513008117676,67
relative_momentum,135.678675532341,72
prev_best_finish,119.40066111087799,21
win_odds_prev3,118.24432027339935,71
handicap_x_trial,118.19348871707916,60
trial_deviation_trend,116.19710510969162,79
days_since_last_win,116.09727013111115,49
predicted_race_time,111.84639978408813,63
win_odds_prev2,110.40362083911896,64
avg_trial_time_90d,107.92838394641876,65
handicap_prev1,106.65009093284607,34
gap_to_top_rival,102.39948892593384,22
humidity,92.94915527105331,53
odds_rank_prev1,91.75502109527588,22
losing_streak,88.73188877105713,14
field_avg_win_rate,86.35930001735687,43
time_zscore_prev4,85.74333965778351,56
top3_rate_10,85.15803039073944,25
prev_best_time,84.2752296924591,51
trial_time,83.7929698228836,38
win_odds_prev4,82.51505994796753,54
start_timing_consistency,81.6206876039505,48
races_since_last_win,81.12451910972595,19
win_odds_prev5,80.2074602842331,51
ewm_start_timing,80.1123440861702,52
top2_rate_10,75.45230114459991,17
race_number,73.25848972797394,29
total_races,72.59092301130295,41
trial_x_st,70.8762196302414,38
race_time_prev2,69.78375560045242,43
avg_start_timing_30,68.94628942012787,38
