feature,mean_abs_shap
trial_time_diff_from_best,0.8354040504990107
field_size,0.3697966771591552
trial_time_rank,0.19350331317788516
rider_track_win_rate,0.19175894040446476
field_trial_std,0.18372897525515214
avg_finish_30,0.1585970077854038
top3_rate_30,0.12207853879600791
field_avg_trial,0.12082960561811903
trial_deviation,0.1189753674959847
avg_finish_10,0.1100440322071494
post_position,0.10993314801277498
trial_time,0.10275814754607336
generation,0.09045910065456784
handicap_rank,0.0780261765594077
handicap_meters,0.07149152499276903
momentum,0.03632739955987313
top3_rate_10,0.031911339594001296
top2_rate_10,0.03187490728625332
win_rate_10,0.03183766875723241
rider_wet_win_rate,0.031592914026856427
trial_vs_avg_90d,0.03049710204965583
total_races,0.028092882697005897
win_rate_30,0.027741113170538977
avg_trial_time_90d,0.018489148578722435
trial_time_trend,0.012817953857103956
track_id,0.012714481095166529
avg_trial_time_30d,0.008930810219107403
track_temperature,0.008160527354022751
humidity,0.006849212135924956
handicap_vs_trial,0.004677795443076944
temperature,0.004630829128086393
days_since_last_race,0.004458484306446232
weather,0.0019968624249980067
track_condition,0.0009605590664093203
grade,0.0
distance,0.0
