feature,mean_abs_shap
trial_time_zscore,0.6476013351166658
field_size,0.35928834020355027
trial_time_diff_from_best,0.3230519506542882
rider_track_win_rate,0.1927523409480154
avg_finish_30,0.14679853554511768
post_position,0.1274781971766797
top3_rate_30,0.11268065733466597
predicted_race_time_rank,0.09738521047425923
field_trial_std,0.09637919562346181
trial_deviation,0.08792295495758738
generation,0.08621248561598592
avg_finish_10,0.07911072096144484
handicap_rank,0.07864277002143404
field_avg_finish,0.062004901629931414
handicap_meters,0.06034442084919543
relative_win_strength,0.054668821957334454
predicted_race_time,0.050091502144136595
trial_time,0.036957160443891295
momentum,0.0356351818174789
total_races,0.0347458336577611
avg_start_timing_10,0.0327434699658384
handicap_range_in_field,0.030114794131331543
top3_rate_10,0.029145854233459608
field_avg_trial,0.02901837033620082
trial_time_rank,0.028855714841585552
field_avg_win_rate,0.021920699934856857
rider_wet_top3_rate,0.019669841752526736
top2_rate_10,0.01881852372952487
win_rate_30,0.018335207706260445
avg_start_timing_30,0.01814551477023775
rider_wet_win_rate,0.016730454648555854
trial_vs_avg_90d,0.01589132617411959
avg_trial_time_90d,0.015681586993602215
avg_trial_time_30d,0.013846316740103922
trial_deviation_trend,0.013083464694440796
start_timing_consistency,0.012302186260214877
gap_to_top_rival,0.01229077249808761
computed_trial_deviation,0.010384253011721195
trial_time_trend,0.009748923747524627
handicap_group,0.009389005822037642
track_temperature,0.00892690050155666
predicted_vs_handicap,0.008745774249362605
track_id,0.007776270060646321
form_rank_in_field,0.007710541031170162
finish_std_10,0.007582299833416709
win_rate_10,0.005449096639177789
race_number,0.0050498470763499555
days_since_last_race,0.004643820777696952
humidity,0.0038465135183748476
handicap_vs_trial,0.003355523446210681
temperature,0.003139524022685937
weather,0.001686487784592698
field_max_win_rate,0.0016399012847662347
is_wet_condition,0.0014401888511696534
track_condition,0.0009554216350677564
grade,0.0
distance,0.0
is_home_track,0.0
rider_age,0.0
